province,month,year,month_of_year,hcl_emission,pcl_emission
上海市,0,1962,1,14730529.04420472,1676727.6242573312
云南省,0,1962,1,2239593361.881266,1934191178.718448
内蒙古自治区,0,1962,1,13017741143.21692,18326921047.507298
北京市,0,1962,1,63132962.074579105,55896591.19797404
吉林省,0,1962,1,3022074045.369938,5133548000.6999035
四川省,0,1962,1,8312570469.6973915,7896101462.497013
天津市,0,1962,1,36474532.57121604,41731311.95956897
宁夏回族自治区,0,1962,1,131496428.87617896,71082294.6619325
安徽省,0,1962,1,2876200816.4969764,4056612737.328849
山东省,0,1962,1,4877114651.598836,7541302211.777283
山西省,0,1962,1,1519931547.631657,896769382.5725019
广东省,0,1962,1,1650830934.9680696,1349495057.50748
广西壮族自治区,0,1962,1,1496974468.9487772,1654679400.0044608
新疆维吾尔自治区,0,1962,1,20202487206.99403,34929858103.85286
江苏省,0,1962,1,2134816005.4935582,3518860382.7200165
江西省,0,1962,1,1090160556.4955585,1014790182.2861854
河北省,0,1962,1,5318503509.629017,5485118982.149892
河南省,0,1962,1,3680579236.8521676,4009909142.981082
浙江省,0,1962,1,725306994.040031,477260970.1019695
海南省,0,1962,1,65164875.167550616,127426804.91348174
湖北省,0,1962,1,2729127366.0577583,3940547364.049523
湖南省,0,1962,1,2388698732.861054,2009824242.3346179
甘肃省,0,1962,1,3455099964.6373944,3819513321.672977
福建省,0,1962,1,387094528.66161317,255422129.08597603
西藏自治区,0,1962,1,7024754581.213704,16281948594.109308
贵州省,0,1962,1,1450760475.2692847,796085591.6630869
辽宁省,0,1962,1,2434343780.5070405,3228692902.175398
重庆市,0,1962,1,565568929.8098228,561365448.1288904
陕西省,0,1962,1,1743732315.9338446,1816246339.1326048
青海省,0,1962,1,989870638.5517513,1122579680.2958975
香港特别行政区,0,1962,1,372515.59600360255,61928.15485631057
黑龙江省,0,1962,1,9979959293.642828,18637339082.072094
上海市,1,1962,2,15032163.116652573,1723022.6313047076
云南省,1,1962,2,2930098758.4535637,3537180665.068959
内蒙古自治区,1,1962,2,13088007125.414066,19169612042.289967
北京市,1,1962,2,58864246.3658,50549018.32801825
吉林省,1,1962,2,2992160309.520273,5102900585.467797
四川省,1,1962,2,7960695168.928833,7130350228.740858
天津市,1,1962,2,34669345.583108135,37818642.09352274
宁夏回族自治区,1,1962,2,126620490.49697237,64865531.34043763
安徽省,1,1962,2,2712603407.815987,3679192371.340747
山东省,1,1962,2,4532822227.05361,6612763217.054542
山西省,1,1962,2,1467406745.1650956,838452512.0366058
广东省,1,1962,2,1618219741.9201837,1262670574.3729033
广西壮族自治区,1,1962,2,1572065593.2907884,1759645329.6042652
新疆维吾尔自治区,1,1962,2,19305081586.38272,33084216085.443813
江苏省,1,1962,2,2111588072.0125992,3448602553.5489054
